Ref_lead_author	Ref_publication_date	Ref_journal	Cell_stack_sequence	Cell_area_measured	Cell_number_of_cells_per_substrate	Cell_architecture	Cell_flexible	Cell_semitransparent	Module	Module_number_of_cells_in_module	Substrate_stack_sequence	ETL_stack_sequence	ETL_deposition_procedure	Perovskite_single_crystal	Perovskite_dimension_0D	Perovskite_dimension_2D	Perovskite_dimension_2D3D_mixture	Perovskite_dimension_3D	Perovskite_dimension_3D_with_2D_capping_layer	Perovskite_dimension_list_of_layers	Perovskite_composition_perovskite_ABC3_structure	Perovskite_composition_perovskite_inspired_structure	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite_composition_leadfree	Perovskite_band_gap	Perovskite_band_gap_graded	Perovskite_band_gap_estimation_basis	Perovskite_deposition_number_of_deposition_steps	Perovskite_deposition_procedure	Perovskite_deposition_aggregation_state_of_reactants	Perovskite_deposition_synthesis_atmosphere	Perovskite_deposition_solvents	Perovskite_deposition_solvents_mixing_ratios	Perovskite_deposition_quenching_induced_crystallisation	Perovskite_deposition_thermal_annealing_temperature	Perovskite_deposition_thermal_annealing_time	Perovskite_deposition_solvent_annealing	HTL_stack_sequence	HTL_additives_compounds	HTL_deposition_procedure	Backcontact_stack_sequence	Backcontact_thickness_list	Backcontact_deposition_procedure	Add_lay_front	Add_lay_back	Encapsulation	JV_measured	JV_average_over_n_number_of_cells	JV_certified_values	JV_light_intensity	JV_reverse_scan_Voc	JV_reverse_scan_Jsc	JV_reverse_scan_FF	JV_reverse_scan_PCE	JV_default_Voc	JV_default_Jsc	JV_default_FF	JV_default_PCE	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
Guerrero et al.	2014/9/30	Applied Physics Letters	SLG | FTO | TiO2-c | Perovskite | Au	0.08	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	Unknown	FALSE	none		Unknown	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.544	2.02	0.54	0.6	0.544	2.02	0.54	0.6	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	25	FALSE	100	1.06	19.2	0.654	13.3	1.06	19.2	0.654	13.3	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	25	FALSE	100	1.09	21.2	0.701	16.2	1.09	21.2	0.701	16.2	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	25	FALSE	100	1.1	21.53	0.727	17.2	1.1	21.53	0.727	17.2	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	25	FALSE	100	1.07	21.08	0.665	15	1.07	21.08	0.665	15	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.06	19.2	0.654	13.3	1.06	19.2	0.654	13.3	Reversed	Reversed	Reversed	Reversed	buffer
Cai et al.	2017/12/19	Electrochimica Acta	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.04	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL		TRUE	100	10	FALSE	Spiro-MeOTAD		Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.1	21.53	0.727	17.2	1.1	21.53	0.727	17.2	Reversed	Reversed	Reversed	Reversed	buffer
Zhang et al.	2019/3/20	Journal of Materials Chemistry A	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.788MA0.162PbBr0.51I2.49	FALSE	FALSE	1.59	FALSE		1	Spin-coating	Liquid	Unknown	DMF; DMSO	4; 1	TRUE	120	15	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	22.4	0.763	18.45	1.08	22.4	0.763	18.45	Reversed	Reversed	Reversed	Reversed	buffer
Zhang et al.	2019/3/20	Journal of Materials Chemistry A	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.788GU0.032MA0.129PbBr0.51I2.49	FALSE	FALSE	1.605	FALSE		1	Spin-coating	Liquid	Unknown	DMF; DMSO	5; 1	TRUE	120	15	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	23.1	0.784	20.29	1.12	23.1	0.784	20.29	Reversed	Reversed	Reversed	Reversed	buffer
Zhang et al.	2019/3/20	Journal of Materials Chemistry A	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.788GU0.065MA0.097PbBr0.51I2.49	FALSE	FALSE	1.615	FALSE		1	Spin-coating	Liquid	Unknown	DMF; DMSO	6; 1	TRUE	120	15	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.11	21.7	0.757	18.26	1.11	21.7	0.757	18.26	Reversed	Reversed	Reversed	Reversed	buffer
