		0	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	buffer
1	22	Qiaogan Liao et al.	6	0	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-CA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-CA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.15	23.18	0.82	21.81	1.13	23.12	0.809	21.21					buffer
1	23	Jiankai Zhang et al.	7	0	2021/9/29	Chemical Engineering Journal	SLG | ITO | FA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	FA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.069	21.37	0.7443	16.99	1.064	21.26	0.7388	16.71					buffer
1	24	Jiankai Zhang et al.	7	0	2021/9/29	Chemical Engineering Journal	SLG | ITO | TFA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	TFA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.099	21.86	0.772	18.55	1.099	21.59	0.7687	18.24					buffer
1	25	Jiankai Zhang et al.	7	0	2021/9/29	Chemical Engineering Journal	SLG | ITO | 2TFA | Perovskite | Perovskite | PCBM | Ag	0.15	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	930;71	TRUE	100	10	FALSE	2TFA	Undoped	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	22.24	0.8106	20.19	1.119	22.2	0.8097	20.11					buffer
1	26	Ece Aktas et al.	8	0	2022/4/6	ACS Applied Material	SLG | ITO | RC-24 | Perovskite | C60 | BCP | Cu		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	RC-24	Undoped	CBD	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.123	22.3	0.79	19.8	1.118	22.3	0.79	19.2					buffer
1	27	Ece Aktas et al.	8	0	2022/4/6	ACS Applied Material	SLG | ITO | RC-25 | Perovskite | C60 | BCP | Cu		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	RC-25	Undoped	CBD	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.116	22.1	0.79	19.6	1.101	22.1	0.79	19.6					buffer
1	28	Ece Aktas et al.	8	0	2022/4/6	ACS Applied Material	SLG | ITO | RC-34 | Perovskite | C60 | BCP | Cu		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3	FALSE	FALSE	1.6	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	RC-34	Undoped	CBD	Cu	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.109	22.5	0.79	19.7	1.101	22.5	0.79						buffer
1	29	Ece Aktas et al.	9	0	2020/12/3	Energy & Environmental Science	NaF | SLG | ITO | EADR03 | Perovskite | LiF | BCP | C60 | Cu			pin	FALSE	FALSE	FALSE	0	SLG | ITO	LiF | C60 | BCP	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)4	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	EADR03	Undoped	CBD	Cu	100	Evaporation	TRUE	FALSE	FALSE	TRUE	1	FALSE	100	1.156	22.9	0.8	21.2	1.156	22.9	0.8	21.2					buffer
1	30	Ece Aktas et al.	9	0	2020/12/3	Energy & Environmental Science	NaF | SLG | ITO | EADR04 | Perovskite | LiF | BCP | C60 | Cu			pin	FALSE	FALSE	FALSE	0	SLG | ITO	LiF | C60 | BCP	Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)5	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	100	60	FALSE	EADR04	Undoped	CBD	Cu	100	Evaporation	TRUE	FALSE	FALSE	TRUE	1	FALSE	100	1.164	22.6	0.8	21	1.164	22.6	0.8	21					buffer
1	31	Neha Singh et al.	10	0	2021/7/14	Organic Electronics	SLG | ITO | MxPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	MxPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.68	16.84	0.51	5.92	0.68	16.84	0.51	5.92					buffer
1	32	Neha Singh et al.	10	0	2021/7/14	Organic Electronics	SLG | ITO | MyPPA | Perovskite | PCBM-60 | Ag			pin	FALSE	FALSE	FALSE		SLG | ITO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.48	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO; NMP	63; 7; 10	TRUE	100	10	FALSE	MyPPA	Undoped	CBD	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.79	16.67	0.57	7.57	0.79	16.67	0.57	7.57					buffer
